# Source: JPL Horizons, Downloaded: 2025-07-22T13:01:16.978792 UTC
name,id,type,x_au,y_au,z_au,x_ly,y_ly,z_ly,distance_from_sun_au,velocity_km_s,semi_major_axis_au,eccentricity,inclination_deg,mass_kg,radius_km,epoch_jd
Sun,10,Star,-0.004258532736144845,-0.005424390327417869,0.0001540511472901939,-6.733816252343962e-08,-8.577331679476714e-08,2.4359378771713585e-09,0.006898031838501709,7.513202946437487e-06,0.004744516608499601,0.5999626351077052,0,1.989e+30,696340.0,2460879.042251942
Mercury,199,Planet,0.0722784499441047,-0.4546339883319254,-0.0435762547123521,1.1429049183932053e-06,-7.188912071787692e-06,-6.890506904121077e-07,0.46240147885541144,0.022993281675357413,0.3935472701631174,0.2043034209347817,0,3.285e+23,2439.7,2460879.042251942
Venus,299,Planet,0.6932692306308377,0.1903069704076526,-0.03740447349298878,1.0962338208295848e-05,3.009234047653462e-06,-5.914592351953445e-07,0.719887535495997,0.02016359794952803,0.7111941918833522,0.01675025334049147,0,4.867e+24,6051.8,2460879.042251942
Earth,399,Planet,0.4979962676516332,-0.8885546258337026,0.0002012126218246966,7.874579270593969e-06,-1.4050293730866093e-05,3.1816799516879333e-09,1.0185919920026603,0.0169422328834075,1.00525653510553,0.01697487226934111,0,5.972e+24,6371.0,2460879.042251942
Moon,301,Satellite,0.4979973603390444,-0.8860923554895347,0.0004173747859102871,7.874596548742815e-06,-1.4011359015346606e-05,6.599749939284437e-09,1.016445378543953,0.01641876065251912,0.9453018563232574,0.08053875987447069,0,7.342e+22,1737.4,2460879.042251942
Mars,499,Planet,-1.535873590568529,-0.5363013438304018,0.02658770848659942,-2.4286042133560964e-05,-8.480279309789564e-06,4.204188499011625e-07,1.6270321827925618,0.013074433819067382,1.53296308088287,0.09034488519286736,0,6.39e+23,3389.5,2460879.042251942
Jupiter,599,Planet,-0.4874736984058446,5.124675514520948,-0.01034503768397604,-7.7081908636145e-06,8.103406831835279e-05,-1.6358118442111984e-07,5.147818640509075,0.007609659671286141,5.194082042111426,0.04877363293573536,0,1.898e+27,69911.0,2460879.042251942
Saturn,699,Planet,9.535414768022024,-0.6516413484593442,-0.3683261411550934,0.00015077900045891153,-1.0304096210675735e-05,-5.8241669352966175e-06,9.564749625133562,0.00555537732050001,9.536845458552493,0.0548110643295867,0,5.683e+26,58232.0,2460879.042251942
Uranus,799,Planet,10.42741324566156,16.49153025045791,-0.07384019893362108,0.00016488375018835187,0.0002607727621394018,-1.167600115963079e-06,19.511713645206694,0.0038637238873523083,19.18836179130924,0.04726761019247931,0,8.681e+25,25362.0,2460879.042251942
Neptune,899,Planet,29.87679811916049,0.000430121243887666,-0.6885501641968705,0.0004724276674809141,6.801303646173621e-09,-1.0887717844386878e-05,29.884731341718496,0.0031587043612274087,30.07852034694547,0.008911883214708203,0,1.024e+26,24622.0,2460879.042251942
Pluto,999,Planet,18.78106098216669,-29.81923006972482,-2.241773967652486,0.0002969760279275579,-0.0004715173711630876,-3.544811068219171e-05,35.31204163014494,0.0030341090759798245,39.10889868559401,0.2475162118122269,0,1.309e+22,1188.3,2460879.042251942
Ceres,1;,Asteroid,2.903996059555305,-0.2317851456416309,-0.5427841665825743,4.591951518090013e-05,-3.6651088003293895e-06,-8.582789117543592e-06,2.963364999311693,0.009615118403621767,2.75556754845809,0.0823585326723299,0,0.0,0.0,2460879.042251942
Vesta,4;,Asteroid,-0.8067374884294759,-1.994024933560067,0.1569123624786237,-1.2756558062482818e-05,-3.15305724697596e-05,2.4811809186860375e-06,2.1567527211980866,0.012252457161584728,2.377114536091165,0.09343190730268594,0,0.0,0.0,2460879.042251942
Pallas,2;,Asteroid,2.119002429512191,-2.277717827530467,1.391186097985933,3.3506782459356924e-05,-3.6016473925625254e-05,2.1998167296309877e-05,3.4078686238407143,0.008183774422258667,2.771240869385529,0.2305343864129616,0,0.0,0.0,2460879.042251942
Eros,433;,Asteroid,1.586949278869307,-0.415074144365495,0.2075422642737194,2.5093677817702233e-05,-6.563370983467925e-06,3.2817675918109992e-06,1.6534111256685142,0.01242517224610138,1.452233980834601,0.2268227671000731,0,0.0,0.0,2460879.042251942
Voyager1,-31,Asteroid,-31.64613283174522,-133.4068442191125,96.52212147996936,-0.0005004053198359485,-0.0021094992839947578,0.0015262586214634393,167.67642572139044,0.009772601571377026,-3.22182309203029,3.728043343770471,0,0.0,0.0,2460879.042251942
Voyager2,-32,Asteroid,38.82884727290866,-103.1204962063549,-86.85616720138403,0.000613982183597803,-0.0016305955978930583,-0.0013734154615104761,140.30506013434618,0.008822026595380748,-4.025702360404476,6.278715075975955,0,0.0,0.0,2460879.042251942
